contour_id,area,perimeter,bbox_x,bbox_y,bbox_width,bbox_height,centroid_x,centroid_y,points,is_image_frame,is_largest
0,0.0,0.0,90,174,1,1,,,1,False,False
1,0.0,2.0,86,174,2,1,,,2,False,False
2,3.0,9.6569,120,173,4,4,121.2778,174.5,8,False,False
3,0.0,0.0,125,172,1,1,,,1,False,False
4,0.0,0.0,78,165,1,1,,,1,False,False
5,0.0,2.8284,126,163,2,2,,,2,False,False
6,0.0,7.6569,75,161,2,4,,,6,False,False
7,18.5,31.5563,127,160,7,12,130.7387,164.009,18,False,False
8,1.5,11.8995,70,158,4,4,71.7778,160.2222,8,False,False
9,3.5,12.2426,136,156,4,5,137.8095,157.4762,8,False,False
10,0.0,0.0,71,156,1,1,,,1,False,False
11,142.5,84.0416,15,153,8,39,18.5661,170.6082,30,False,False
12,2.0,5.6569,50,152,3,3,51.0,153.0,4,False,False
13,4.0,7.6569,146,151,3,4,147.0,152.5,6,False,False
14,4.0,7.6569,49,147,3,4,50.0,148.5,6,False,False
15,4.0,7.6569,50,144,3,4,51.0,145.5,6,False,False
16,2.0,5.6569,51,143,3,3,52.0,144.0,4,False,False
17,2.0,5.6569,52,142,3,3,53.0,143.0,4,False,False
18,4.0,7.6569,54,141,4,3,55.5,142.0,6,False,False
19,1.0,8.8284,101,133,5,2,103.0,133.3333,5,False,False
20,0.0,6.8284,116,109,4,2,,,6,False,False
21,3.0,8.8284,111,104,3,4,111.6111,105.8889,5,False,False
22,22.0,23.3137,99,103,9,6,102.2121,106.0909,14,False,False
23,0.0,0.0,71,86,1,1,,,1,False,False
24,0.0,0.0,82,85,1,1,,,1,False,False
25,2.5,8.2426,134,83,4,3,135.7333,83.9333,6,False,False
26,1.5,6.2426,123,82,3,3,123.8889,83.2222,5,False,False
27,0.0,0.0,156,81,1,1,,,1,False,False
28,15435.5,505.0021,46,9,119,176,103.5968,95.8123,207,False,True
29,39601.0,796.0,0,0,200,200,99.5,99.5,4,True,False
