intensity,count
0,72
1,148
2,132
3,192
4,111
5,127
6,201
7,145
8,183
9,85
10,216
11,108
12,110
13,265
14,136
15,165
16,152
17,168
18,0
19,196
20,169
21,220
22,226
23,0
24,214
25,240
26,0
27,262
28,0
29,271
30,0
31,285
32,289
33,0
34,266
35,0
36,278
37,0
38,255
39,271
40,0
41,275
42,0
43,298
44,0
45,261
46,0
47,320
48,0
49,340
50,0
51,323
52,0
53,276
54,297
55,0
56,312
57,0
58,275
59,0
60,295
61,0
62,274
63,0
64,295
65,0
66,289
67,252
68,0
69,264
70,0
71,265
72,230
73,210
74,0
75,205
76,206
77,165
78,185
79,147
80,152
81,157
82,113
83,254
84,105
85,139
86,128
87,237
88,118
89,172
90,167
91,164
92,139
93,204
94,116
95,181
96,156
97,160
98,139
99,179
100,132
101,142
102,202
103,80
104,215
105,138
106,141
107,190
108,0
109,195
110,209
111,182
112,135
113,135
114,162
115,173
116,173
117,135
118,142
119,143
120,168
121,135
122,150
123,287
124,140
125,152
126,173
127,158
128,136
129,171
130,134
131,142
132,147
133,125
134,141
135,273
136,149
137,136
138,151
139,146
140,137
141,217
142,114
143,125
144,141
145,157
146,182
147,192
148,0
149,244
150,0
151,318
152,0
153,335
154,0
155,351
156,0
157,0
158,465
159,0
160,0
161,0
162,551
163,0
164,0
165,559
166,0
167,0
168,486
169,0
170,0
171,0
172,510
173,0
174,0
175,521
176,0
177,0
178,0
179,567
180,0
181,0
182,602
183,0
184,0
185,0
186,0
187,670
188,0
189,0
190,0
191,729
192,0
193,0
194,471
195,0
196,0
197,0
198,515
199,0
200,0
201,0
202,662
203,0
204,0
205,0
206,660
207,0
208,0
209,0
210,672
211,0
212,0
213,0
214,0
215,661
216,0
217,0
218,588
219,0
220,0
221,0
222,568
223,0
224,0
225,0
226,639
227,0
228,0
229,0
230,592
231,0
232,0
233,0
234,0
235,775
236,0
237,0
238,0
239,750
240,0
241,0
242,0
243,0
244,0
245,898
246,0
247,0
248,0
249,0
250,0
251,0
252,995
253,0
254,0
255,546
