intensity,count
0,0
1,0
2,1
3,0
4,1
5,6
6,8
7,8
8,7
9,8
10,8
11,8
12,4
13,7
14,6
15,11
16,9
17,10
18,13
19,9
20,9
21,14
22,22
23,22
24,29
25,21
26,20
27,29
28,33
29,29
30,56
31,54
32,26
33,56
34,57
35,54
36,70
37,57
38,84
39,58
40,59
41,73
42,72
43,87
44,96
45,85
46,111
47,105
48,108
49,110
50,134
51,131
52,136
53,165
54,152
55,168
56,196
57,169
58,220
59,226
60,214
61,240
62,262
63,271
64,285
65,289
66,266
67,278
68,255
69,271
70,275
71,298
72,261
73,320
74,340
75,323
76,276
77,297
78,312
79,275
80,295
81,274
82,295
83,289
84,252
85,264
86,265
87,230
88,210
89,205
90,206
91,165
92,185
93,147
94,152
95,157
96,113
97,140
98,114
99,105
100,139
101,128
102,125
103,112
104,118
105,87
106,85
107,87
108,80
109,88
110,76
111,58
112,81
113,64
114,78
115,62
116,58
117,58
118,49
119,42
120,40
121,50
122,48
123,42
124,29
125,37
126,40
127,40
128,25
129,34
130,21
131,22
132,30
133,21
134,24
135,42
136,43
137,37
138,48
139,51
140,55
141,77
142,62
143,80
144,66
145,59
146,77
147,80
148,103
149,112
150,138
151,141
152,190
153,195
154,209
155,182
156,135
157,135
158,162
159,173
160,173
161,135
162,142
163,143
164,168
165,135
166,150
167,148
168,139
169,140
170,152
171,173
172,158
173,136
174,171
175,134
176,142
177,147
178,125
179,141
180,147
181,126
182,149
183,136
184,151
185,146
186,137
187,114
188,103
189,114
190,125
191,141
192,157
193,182
194,192
195,244
196,318
197,335
198,351
199,465
200,551
201,559
202,486
203,510
204,521
205,567
206,602
207,670
208,729
209,471
210,515
211,662
212,660
213,672
214,661
215,588
216,568
217,639
218,592
219,775
220,750
221,898
222,995
223,498
224,48
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
