operation,mean_abs_change,max_abs_change,rmse,percent_pixels_changed
canny,152.6108,249,165.0161,100.0
negative,126.3238,251,135.2154,100.0
morph_dilation,66.0823,236,71.8716,100.0
morph_erosion,65.8377,217,71.4365,100.0
morph_opening,64.3879,174,68.8002,100.0
morph_closing,64.3575,191,68.7438,100.0
contour_mask,64.3381,127,68.7079,100.0
threshold,64.3381,127,68.7079,100.0
rotate_30,57.4872,221,88.1403,98.26
rotate_90,51.2384,198,70.7826,99.39
brightness_plus40,39.319,40,39.3628,100.0
contrast_1_25,33.4536,51,35.8642,100.0
flip_vertical,29.7286,197,41.5446,96.06
histogram_equalized,27.3057,47,30.3002,100.0
flip_horizontal,22.9671,208,38.5036,97.0
upscaled_nearest,3.1936,88,7.2292,65.52
upscaled_bilinear,2.9863,72,6.4593,61.56
filter_mean_3x3,2.6862,65,5.9702,59.02
filter_gaussian_3x3,2.1155,55,4.7498,53.67
gaussian_blur,2.1155,55,4.7498,53.67
filter_median_3x3,1.6366,79,4.4716,40.76
